title,press,n_reply,content
‘누가누가 이재명 더 높이 띄우나’…충성경쟁 불붙은 민주 최고위 경선,한겨레,924,"이재명 전 더불어민주당 대표가 연임하려고 대표직을 사퇴한 가운데, 8·18 전당대회 최고위원 경선에 출사표를 던진 후보자들의 ‘충성 경쟁’이 거세다. 국민의힘의 공격은 말할 것도 없고, 민주당 안에서도 당 지도부가 되려는 이들이 가치와 비전을 겨뤄야 할 전당대회가 ‘이재명 일극체제’ 완성의 장이 될 것이란 우려가 나온다. 전날 최고위원 출마를 선언한 강선우 의원은 25일 에스비에스(SBS) 라디오 인터뷰에서 “이 대표가 사임하고 다시 돌아오셔야 된다는 말씀을 좀 강하게, 그리고 크게 소리가 날 수 있도록 말씀드리고 싶다”고 했다. 강 의원은 전날 출마 일성으로 “이재명을 지키는 일이 민주당을 지키는 일”이라며 “이재명 대통령 시대, 강선우가 열겠다”고 했다. 같은 날 출마 뜻을 밝힌 김병주 의원도 “이 전 대표와 함께 위기의 대한민국을 구하고 지켜내겠다”고 했다. 최고위원 출마를 준비 중인 한준호 의원은 전날 페이스북에 “‘당원이 주인인 정당’을 만든 이 대표의 내일은 ‘국민이 주인인 나라’를 향해 힘차게 시작될 것”이라고 적었다. 이런 분위기에, 곽규택 국민의힘 수석대변인은 이날 “최고위원 출마자 대부분도 오직 ‘이재명 지키기’라는 과업을 이루려는 비뚤어진 사명을 가진 자들 뿐”이라며 “70년 전통의 민주당에 오직 ‘이재명’이라는 한 사람만 남았다”고 논평했다. 민주당 안에서도 국민의 대표로 선출된 공직자이자, 제1야당을 이끌겠다는 지도부의 자세로 보기엔 낯부끄럽다는 비판이 나왔다. 한 재선 의원은 “최고위라는 집단지도체제는 서로 다른 의견과 다양한 국민의 목소리를 반영할 수 있도록 구성돼야 의미가 있다. 다른 목소리를 내지 못하고, 다른 역할을 하지 못하는 최고위원이 당 의사결정에 어떤 도움이 될지 의문”이라고 말했다. 한 수도권 의원은 “최고위원 도전자 입장에선 이 전 대표 지지를 표명할 수 있다. 하지만 그게 전부인 게 문제”라고 꼬집었다. ‘명심 경쟁’ 일변도로 펼쳐질 전당대회로는 컨벤션 효과, 즉 대중의 큰 관심을 끌거나 답보 중인 당 지지율을 끌어올리는 게 어렵다는 지적도 있다. 다음달 전당대회를 앞둔 국민의힘에선 윤상현·나경원 의원, 원희룡 전 국토교통부 장관, 한동훈 전 비상대책위원장 4명이 출마해 ‘친윤 대 비윤’의 흥행 구도가 마련된 점과도 대비된다. 이와 함께 “민주당의 아버지는 이재명 대표”(강민구 최고위원) 등 당내에서 분출되는 ‘이재명 칭송’을 둘러싼 우려도 크다. 전체 유권자의 정서와는 거리가 있는 탓이다. 이날도 정진욱 의원은 페이스북에 “윤석열 정권의 조기 종식과 민주당 정권의 재창출을 위해 누가 필요한지 우리는 안다. (이 전 대표가) 다시 민주당 대표를 맡아 민주당에 필요한 강력한 리더십과 확고한 비전을 보여주실 것을 기다린다”고 적었다. 한 중진 의원은 “방 안에서 비슷한 사람들끼리 소리치며 메아리를 키우고 있지만 결국 밖으로는 빠져나가지 못한다”며 “지방선거, 대선을 앞두고 외연 확장은 기대할 수 없다”고 지적했다."
"""尹 지지율 26%...국민의힘 32%·민주당 28%"" [갤럽]",YTN,915,"윤석열 대통령 지지율이 지난주와 같은 26%를 기록했다는 여론조사 결과가 나왔습니다. 한국갤럽이 지난 18일부터 사흘 동안 전국 만 18세 이상 유권자 천2명을 대상으로 조사한 결과 윤 대통령 직무수행 긍정 평가는 26%, 부정 평가는 64%를 기록했습니다. 긍정 평가는 직전 조사인 1주일 전과 같았고, 부정 평가는 같은 기간 2%p 떨어졌습니다. 긍정 평가 이유로는 외교가 26%로 가장 많았고 부정 평가 이유로는 경제·민생·물가가 17%로 가장 큰 비중을 차지했습니다. 정당 지지도는 여당인 국민의힘이 전주보다 2%p 오른 32%를 기록했고 더불어민주당은 28%로 전주보다 1%p 올랐습니다. 조국혁신당은 9%, 개혁신당은 4%로 집계됐습니다. 정계 주요 인물에 대한 호감 여부를 물은 결과 오세훈 서울시장이 36%로 호감도가 가장 높았고 조국 조국혁신당 대표 35%, 이재명 더불어민주당 대표 33%, 한동훈 전 국민의힘 비대위원장 31% 순으로 나타났습니다. 자세한 내용은 중앙선거여론조사심의위원회나 한국갤럽조사연구소 홈페이지를 참조하면 됩니다. ○ 의뢰·조사기관 : 한국갤럽 ○ 조사 기간 : 2024년 6월 18일~20일 (3일간) ○ 표본 오차 : ±3.1%포인트(95% 신뢰 수준) ○ 조사 대상 : 전국 만 18세 이상 1,002명 ○ 조사 방법 : 전화조사원 인터뷰(CATI) ○ 전체 질문지 등 자세한 내용은 한국갤럽조사연구소 또는 중앙선거여론조사심의위원회 홈페이지 참조 ※ `당신의 제보가 뉴스가 됩니다` [카카오톡] YTN 검색해 채널 추가 [전화] 02-398-8585 [메일] social@ytn.co.kr"
"홍준표 또 한동훈 직격 ""얼치기 검사 출신...이재명 못지않게 뻔뻔""",채널A,911,"홍준표 대구시장이 국민의힘 대표 선거 출마 선언을 앞둔 한동훈 전 비상대책위원장을 겨냥해 ""정치적 미숙아를 넘어 이재명 대표 못지않은 뻔뻔함을 그대로 보여주고 있다""고 언급했습니다. 홍 시장은 어제(21일) 페이스북에 ""난장판 국회를 만들어 나라를 혼란으로 몰아넣어 놓고 석고대죄해도 모자랄 판에 총선 참패 주범들이 두 달도 안 돼서 또 무리를 지어 나선다""고 적었습니다. 홍 시장은 ""국민과 당원들은 바보가 아니다. 혹독한 심판을 당하고 퇴출될 것""이라며 ""얼치기 검사 출신이 더이상 우리 당을 농락하는 일이 없었으면 한다""고 비판했습니다. 한 전 위원장은 내일(23일) 국회에서 국민의힘 당대표 출마를 선언할 예정입니다."
[속보]당 대표 출마 한동훈 “이번엔 잘 할 수 있어”,문화일보,893,"23일 국회 소통관서 기자회견 한동훈 전 국민의힘 비상대책위원장이 전당대회 출마를 공식화한 가운데 보수 정권의 재창출에 대한 의지를 내비쳤다. 20일 정광재 전 국민의 힘 대변인은 서울 여의도 한 전 위원장의 캠프 사무실을 찾아 “한 전 위원장이 ‘이번에 자기가 잘할 수 있다’며, ‘잘해서 보수정당의 정권 재창출을 만들어내야 한다’고 얘기했다”고 밝혔다. 정 전 대변인은 한 전 위원장의 캠프 합류를 위해 전날 국민의힘 대변인직에서 사퇴했다. 한동훈 전 위원장은 오는 23일 오후 2시 국회 소통관에서 당 대표 출마 선언 기자회견을 열 예정이다. 그는 전날 서울 여의도 대산빌딩에 전당대회 출마를 준비하는 캠프를 꾸리고 실무진 구성 작업에 나선 것으로 전해졌다. 정 전 대변인에 따르면 출마 선언 기자회견에서 한 전 위원장은 각종 쟁점 법안에 대한 입장을 말할 것으로 전해졌다. 한편 나경원 국민의힘 의원도 이날 전당대회 출마와 관련해 “결정의 시간, 결정의 때는 차오르고 있다”라고 밝혔다."
[김순덕의 도발]책임지지 않는 패장 한동훈의 ‘팬덤 정치’,동아일보,864,"마침내 한동훈 국민의힘 전 비상대책위원장이 당 대표 경선에 나선다. 23일 경선 출마 선언을 할 모양이다. 4·10 총선에서 국힘이 참패한지 두 달 반 만에 선거 패장(敗將)이 다시 그 당을 이끌겠다고 나선 것이다. ‘어대한’(어차피 당 대표는 한동훈) 소리가 분분하다. “어대한은 당원 모욕”이라고 ‘찐윤’ 이철규 의원은 공개저격했다. 어차피 나오고 안 나오고는 한동훈의 자유이고 정치적 결단이다. 작년 12월 비대위원장을 맡을 무렵에도 그가 왜 꼭 그 때 그 자리에 서야 하느냐는 논란이 적지 않았다. “강감찬 아꼈다 임진왜란 때 쓸 요량이겠지만 고려가 망하면 조선도 없다. 당연히 임진왜란도 없다”고 나는 그때 신문칼럼에 썼다. “국힘이 총선에서 지면 대통령도 제 역할 못 한다”며 ‘관건은 용산’이라고도 지적했다. 일종의 ‘글빚’ 때문에 한동훈이 또 나온다는 지금 가만있을 수 없다. 이번 당 대표 출마, 나는 반대다. ● 한동훈은 강감찬이 아니었다 이유는 첫째, 패장이어서다. 강감찬은 1019년 귀주대첩에서 거란군에 대승을 거둬 나라를 구했지만 국힘 총괄선거대책위원장 한동훈은 보수 궤멸에 가깝게 참패했다. 물론 그에게 패배의 가장 큰 책임이 있다고는 생각지 않는다. 윤석열 대통령은 인정하(고 싶)지 않겠으나 총선 결과를 좌우하는 것은 결국 대통령 지지도다. 이번 역시 정권 심판론이 먹혀들었다. 한동훈이 아니었다면 더 크게 졌을 공산이 크다. 그럼에도 한동훈에게 두 번째로 큰 책임이 있음은 부인 못한다. 심지어 그 자신이 패배 다음날 “모든 책임을 지고 물러난다”고 해놓고 석달도 안 돼 다시 나서는 건 ‘책임 정치’라 할 수 없다. 패장은 깨끗이 물러나고 다음 지도자에게 기회를 주는 것이 정치적 도리다. 2020년 총선 패장 황교안도, 2016년 김무성도 그랬다. 1997년 대선에서 패한 이회창 대통령 후보도 1년 반이 지나서야 당 총재로 복귀했다. 2004년 총선 패배 직후 박근혜 당 대표가 나오긴 했으나 그때는 노무현 대통령 탄핵 역풍에 따른 괴멸적 참패를 막은 경우였다. 안다. 이런 정치문법을 깬 야당 지도자가 있다는 걸. ‘민주당의 아버지’라는 이재명이 대선 패배 두 달 만에 보선 금배지를 달았고 다섯 달여 만에 당 대표까지 됐다. 그러나 그건 이재명 사법리스크가 그만큼 심각하다는 의미다. 자숙과 자성이라는 잠깐의 책임지는 시간도 마다하는 패장이 ‘뉴노멀’이 될 순 없다. 그걸 본받아서야 설령 한동훈이 당 대표가 된들 어떻게 이재명의 무책임 정치, 뻔뻔한 뉴노멀을 비판할 수 있겠나. ● 제2의 6·29선언도 못한 정치력 한동훈에 반대하는 두번째 이유는 정치력 결핍 때문이다. 윤 대통령 지지율이 바닥을 긴다 해도 일단 한동훈이 책임을 맡았으면, 대통령과 담판을 해서라도 전략을 짜내야 했다. 지지층이 기대했던 것도 1987년 6·29선언으로 대선에서 승리한 노태우 모델이었다. 그때나 지금이나 윤 대통령의 가장 큰 리스크는 부인 문제다(물론 채 상병의 억울한 죽음과 특검 문제도 시시각각 목을 조여 오겠지만 그건 자업자득이다). 대통령이 가장 아끼고 사랑하는 바로 그 사람이 대통령의 ‘공정과 상식 브랜드’를 우습게 만들면서 용산과 국민 사이를 찢어놓는 건 우리시대 비극이자 아이러니가 아닐 수 없다. 총선 총괄선대위장 한동훈은 김 여사 디올백 문제부터 풀고 넘어가야 했다. 사과 없이 선거 못 치른다는 소리가 빗발치는데도 한동훈은 “아쉬운 점, 국민이 걱정할 만한 부분이 있다”(1월 18일) “국민 눈높이에서 생각할 문제”(19일) 발언이 고작이었다. 오히려 몽둥이는 대통령이 들었다. 한동훈은 비대위원장 사퇴 요구를 거부하며 맞서는 모습을 보였지만, 그게 끝이다. 차라리 약속대련이면 좋았을 거다. 한동훈은 제2의 6.29선언을 연출해 ‘아름다운 뒤통수 치기’는커녕 23일 충남 서천시장에서 대통령께 90도 폴더인사를 바침으로써 김 여사 문제를 덮고 말았다. 그랬던 한동훈이 다시 당 대표가 된다고 윤 대통령에게 할 말 할 수 있겠나. 아직도 살아있는 김 여사 리스크를 풀 수 있는가. ● 팬덤과 유세뽕에 넘어갈 텐가 그럼에도 한동훈이 당 대표에 나서는 건 팬덤까지 형성된 지지율 덕분일 터다. ‘장래 정치 지도자’를 묻는 갤럽 여론조사에서 한동훈은 2022년 9월부터 지금까지 보수우파 측 대통령감으로 부동의 1위다(전체적으로 보면 더불어민주당 이재명 대표가 1위. 21일 조사에서 오세훈 서울시장 36%, 조국 조국혁신당 대표 35%, 이재명 33%, 한동훈 31%로 나온 것은 ‘정계 인물 호감도’였다). 가히 국민의 부름에 응답하는 것이라고 함직하다. 한동훈이 나서면 안 되는 세 번째 이유가 그 팬덤 때문이다. 잘 자란 강남 8학군 ‘엄친아’(엄마친구 아들) 73년생 한동훈은 그래서 70대와 60대, 직업별로는 가정주부 사이에서 제일 인기많다. 머리 회전과 말이 빠른 초(超)엘리트라고 자신해선지 남의 말을 안듣는다고 한다(윤 대통령이 대화의 90%를 점한다면 한동훈은 95%라는 소리도 있다). 그러면서도 총선 유세는 여의도 전철역처럼 쎄한 곳 아닌 시장통 같은 사람 많은 데를 주로 찾았으니 ‘유세뽕’을 잊지 못해 또 나서는 게 아닌가. 물론 우리도 선진국이 된 마당에 고난의 서사에서 감동받는 촌스러움은 벗어날 필요가 있다. 쿨하고 똑똑한 정치인이 대선에서 패하고도 주식투자나 하는 철면피 정치인보다는 낫다고 본다. 그러나 적과의 동침은커녕 동료시민들과 밥도 잘 안 먹는 깔끔함으론 사람을 모을 수 없다. 패장이 방방곡곡 민생투어도 아니고, 소외지역 법률상담도 아니고, 서초구 공공도서관에서 핑크빛 골전도 이어폰 끼고 책이나 보는 모습이 셀피처럼 찍혀 퍼진 것은… 얄팍하다. ● 웰빙당을 이기는 정당으로? 기어이 당 대표에 나설 결심인 한동훈이 윤 대통령에게 “이기는 정당을 만들겠다”고 전화로 말했다고 한다. 헹. 비대위원장 때 못 만들어 물러났던 패장이(제1 책임자는 아니라고 앞에 썼다) 이제 와 무슨 수로? 명색이 집권당으로서 총선 참패를 했으면, 다그리 국회 들어가 쌈닭처럼 물어뜯어도 모자랄 판이다. 문재인 정권 시절 임대차3법을 밀어붙이는 다수여당에 맞서 윤희숙 당시 국힘 의원이 “저는 임차인입니다” 연설로 감동을 줬듯, 방법은 얼마든지 있다. 그럼에도 국힘은 폭망 뒤 의총을 열어도 점심 시간 전 칼같이 끝내는 웰빙귀족정당 본색을 드러냈다(세비 반납하라. 혈세가 아깝다). 더구나 대통령 의중은 명백하다. 친윤 원희룡 전 국토교통부 장관이 20일 ‘당정일체’를 내걸고 전격 당 대표 경선 출마를 밝혔다. 윤 대통령은 여당 장악을 포기할 수 없는 것이다. 감히 김 여사를 물어뜯으려 했던 한동훈은 용납될 수가 없는 것이다. ● “대통령 부부도 법치 예외 될 수 없다” 차라리 잘 됐다. 이로써 한동훈은 더 이상 눈치 보지 않고 분명히 색깔을 드러낼 수 있게 됐다. 23일 경선 출마 때 김 여사와 채 상병 문제 처리에 대해 “국민 눈높이에 따라…” 정도로 답해선 , 기대만 무너뜨릴 뿐이다. 민심이 당심이고 그것이 윤심이어야 한다는 짱짱한 반골 체질을 드러내야 한다. 윤 대통령의 무너진 공정과 상식을 바로잡는 ‘반(反)부패’가 한동훈의 브랜드이길 바란다. 대통령 부부도 법치의 예외가 될 수 없다는 선명한 차별화로 당 대표가 된다면, 한동훈은 이명박 정부 때 박근혜 같은 ‘정권 교체’를 내걸고 정권 재창출에 매진할 수 있을 것이다. 친윤 후보에 밀려 떨어진다면, 더욱 잘 됐다. 한동훈은 ‘여당 내 야당’ 역할로 정치력을 길러 정권 재창출도 가능할 수 있을 것이다. 2022년 8월 법무부 장관 시절 신임검사들과의 강화를 기억하는가. 한동훈은 “검사로서 인생이 초라해지는 건 뭐냐면, 소신을 가지고 내가 관철했는데 답이 틀렸을 때”라고 했다. “기회는 여러번 오지 않는다. 그러니까 굉장히 잘 준비하고 실력을 갖추는게 그만큼 중요하다”고도 강조했다. 정치인은 더욱 그렇다. 한동훈은 굉장히 잘 준비하고 실력을 갖추었는가."
"<단독> ""한동훈만 아니면 된다?"" 국힘 내 최대조직, 韓만 쏙 빼고 초청장",주간조선,854,"국민의힘 차기 당대표 선거에 나선 한동훈 전 비상대책위원회에 대한 당 안팎의 견제행보가 본격화되고 있다. 지난 25일 서울 공군회관에서는 `새로운 미래를 준비하는 모임(새미준)` 주최의 정기세미나가 열렸다. 이날은 오세훈 서울시장의 특강이 진행됐다. 국민의힘 최대 외곽조직으로 꼽히는 새미준은 윤석열 정부 출범에도 적지 않은 기여를 한 것으로 알려져 있다. 새미준의 전신은 이명박 정권 출범에 기여한 `한국의힘`으로 1997년 공식 출범했다. 특히 이 단체를 이끌어 온 이영수 새미준 중앙회장은 전국적인 조직을 움직이는 막후 실세로 지난 대선 당시 윤석열 캠프 조직지원총괄본부장을 맡기도 했다. 현 정부 출범 후에는 새미준 포럼을 진행하는 등 친윤 외곽 조직으로 정체성을 굳혔다. 실제로지난해 3월 8일 국민의힘 전당대회에서 김기현 당대표 후보가 당선된 데는 이 회장과 새미준이 영향을 미쳤다는 것이 정치권 중론이다. 이 회장이 몇 년 전 모친상을 치렀을 때 나경원, 주호영, 김종인, 홍준표, 권영세, 권성동을 비롯한 여권 주요 인사들이 조문을 하며 그의 영향력이 고스란히 드러나기도 했다. 이날 새미준 세미나는 국민의힘 당대표 선거에 후보 등록이 이뤄진 후 처음 열린 자리로 세미준의 지지가 누구를 향하는지 점쳐 보는 자리라는 평가가 나왔다. 그런데 이날 새미준은 나경원 의원, 원희룡 전 국토교통부 장관, 윤상현 의원, 한동훈 전 비상대책위원장 등 네 명의 주자 중 한 전 위원장에게만 초청장을 보내지 않았다. 이날 좌석에는 나 의원과 원 전 장관, 윤 의원 의 명찰만 있었을 뿐 한 전 위원장의 것만 보이지 않았다. 이날 자리에 나 의원은 참석했으며 윤 의원과 원 전 장관은 오전 일정으로 인해 양해를 구하고 참석을 하지 않은 것으로 알려졌다. 한 전 위원장 측 관계자는 주간조선에 ""오늘이 새미준 날이냐""고 되묻고는 ""초청 받았는지 모르겠다. 오전 현충원 방문 일정있으시다""고 답했다. 세미나 주최자인 이영수 새미준 중앙회장은 한 전 위원장 초청 여부에 ""초청 안했다. 위원장 측에서 연락을 안 받더라""고 답했다. 새미준은 지난 5월새미준 정기세미나 발제자로는 홍준표 대구시장을 초청했다. 홍 시장은 한 전 위원장에게 가장 각을 세우고 있는 정치인 중 하나다. 당심 바로미터로 꼽히는 새미준이 한 전 위원장에게만 초청장을 보내지 않은 것은 ""한동훈만 아니면 된다""는 메시지로 해석될 여지가 있다는 점에서 이번 당대표 선거는 예측불허로 전개될 가능성이 커 보인다. ※주간조선 온라인 기사입니다."
"""채 상병 국민 의구심 풀어줘야""‥한동훈·나경원·원희룡 나란히 출사표",MBC,841,"[뉴스데스크] ◀ 앵커 ▶ 국민의힘 당대표 경선에 한동훈 전 비상대책위원장과 나경원 의원, 원희룡 전 국토부 장관이 오늘 공식 출마를 선언했습니다. 한 전 위원장은 당권주자들 중 유일하게 지금 야당과 별개로 `채 상병 특검법`을 추진할 필요가 있다는 입장을 밝혔습니다. 조재영 기자입니다. ◀ 리포트 ▶ 지지자들의 열렬한 환호 속에, 한동훈 전 비대위원장이 국회에 나타났습니다. 총선 참패에 대해 책임을 지고 사퇴한 지 73일 만에 다시 당권 도전을 선언했습니다. 거듭 ""총선 패배는 오로지 제 책임""이라면서도 ""고심 끝에 마음을 바꿨다""고 말했습니다. [한동훈/전 국민의힘 비대위원장] ""패배의 경험을 변화와 승리, 정권 재창출의 토양으로 삼겠습니다."" `대세론`이 거센 가운데, 최대 관심은 윤석열 대통령과의 관계. 그 가늠자로 `채상병 특검법`에 대해 입장을 묻는 질문이 먼저 나왔습니다. [한동훈/전 국민의힘 비대위원장] ""국민들께서 의구심을 가지고 계십니다. 의구심을 저는 풀어드려야 한다고 생각합니다."" 여당 당권주자 중 처음으로 특검 필요성에 공감한 건데, ""더불어민주당의 특검법으로는 진실 규명이 어렵다""고 선을 그었습니다. ""대표가 되면 대법원장 등 제3자가 특검을 고를 수 있게 새 특검법안을 추진하겠다""고 덧붙였습니다. 같은 기자회견장에선 한 시간 전후로 `반한` 대항마 나경원 의원과 원희룡 전 국토부 장관도 나란히 출사표를 던졌습니다. 나 의원은 당 대표 역할을 충실히 하기 위해, 자신은 대선에 나서지 않겠다고 선언했습니다. ""책임지지 않는, 염치없는 정치에 당을 맡길 수 없다""고 한 전 위원장을 견제했습니다. [나경원/국민의힘 의원] ""승리는 말로 하는 것이 아닙니다. 승리는 결과로 입증하는 것입니다. 이겨본 사람만이 이기는 길을 압니다."" 원희룡 전 장관은 ""자신과 당이 부족해 총선에서 국민 선택을 받지 못했다""면서, ""반성하고 윤석열 정부 성공을 책임지겠다""고 말했습니다. [원희룡/전 국토교통부 장관] ""저는 대통령과 신뢰가 있습니다. 당심과 민심을 대통령께 가감 없이 전달하겠습니다."" `채상병 특검법`에 대해 두 주자는 ""정권을 끌어내리기 위한 정쟁용 특검"", ""수사를 지켜보고 부족하면 논의해야 한다"" 현재 당론과 같은 입장을 밝혔습니다. 지역구에서 먼저 출마를 선언한 윤상현 의원은 ""자신이 대통령에게 할 말을 할 수 있는 적임자""라며 ""당은 전략가에게 맡기고, 한동훈·나경원·원희룡은 대권주자로 나서는 게 당에게 이익""이라고 주장했습니다. MBC뉴스 조재영입니다. 영상취재 : 서현권 / 영상편집 : 류다예 MBC 뉴스는 24시간 여러분의 제보를 기다립니다. ▷ 전화 02-784-4000 ▷ 이메일 mbcjebo@mbc.co.kr ▷ 카카오톡 @mbc제보"
"[속보] 한동훈 “채 상병 특검법, 반대할 수 없어…국힘이 나서서 추진해야”",한겨레,837,한동훈 전 국민의힘 비상대책위원장이 7·23 전당대회 당 대표 출마를 선언하며 ‘채 상병 특검법’에 반대하지 않는다고 밝혔다. 한 전 위원장은 23일 국회 소통관에서 출마 기자회견을 하며 채 상병 특검법에 관한 질문을 받고 “국민의 의구심을 풀어드릴 만한 여러 기회를 아쉽게도 실기했다. 이 시점에서 우리 국민의힘이 특검을 반대할 수 없다고 생각한다”며 “진실규명을 위한 특검을 국민의힘이 나서서 추진해야 한다는 것이 제 생각”이라고 말했다. 이어 그는 “공수처 수사 종결 여부를 제가 말하는 특검법 발의 조건으로 달지 않겠다”며 “제가 당 대표가 되면 국민의힘에서 진실규명을 할 수 있는 특검법을 발의하겠다”고 덧붙였다.
"캠프서도 ""생각보다 워딩 셌다""… 한동훈 사실상 `반윤 선언` 왜?",중앙일보,809,"한동훈 전 국민의힘 비상대책위원장이 23일 국민의힘 전당대회 출마를 선언하면서 당초 예상보다 강한 발언을 쏟아냈다. 윤석열 대통령과의 관계를 “공적 관계”로 규정하며 국민의힘이 당론으로 반대하는 해병대 채 상병 특검법안도 추진하겠다는 입장을 밝히면서 파장이 커지고 있다. 한 전 위원장은 이날 국회 소통관에서 출마 선언 직후 기자들과 만나 윤 대통령과의 관계를 묻는 취재진 질문에 “저는 공적 관계에 사적인 친소 관계가 관심 대상이 되고, 그 여부가 공적 결정에 영향을 주면 안 된다고 생각한다”고 말했다. 윤 대통령이 지난달 9일 자신과의 오찬을 거부한 한 전 위원장에 대해 “저와 20년이 넘도록 교분을 맺어왔다”며 인연을 강조했던 것과는 다른 뉘앙스였다. 한 전 위원장은 채 상병 특검에 대해서도 “진실규명을 위한 특검을 국민의힘이 나서서 추진해야 한다”고 강조했다. 더불어민주당이 특검 후보를 추천하는 방식엔 반대하면서도 “공수처 수사 종결 여부는 특검법 조건으로 달지 않겠다”고 밝혀, “수사 결과를 보고 국민께서 `봐주기 의혹이 있다, 납득이 안 된다`고 하시면 그때는 제가 먼저 특검을 하자고 주장하겠다”고 했던 윤 대통령의 입장과 배치되는 발언을 했다. 김건희 여사와 관련해서도 ▶특별감찰관 임명 ▶제2부속실 설치를 요구하겠다고 밝히며 “진짜 해야 한다. 안 할 이유가 없다”고 강조했다. 지난해 12월 국민의힘 비상대책위원장으로 부임한 이후 한 전 위원장과 윤 대통령은 갈등을 반복해 ‘윤·한 갈등’이 기정사실로 받아들여졌다. 하지만 국민의힘 당권 경쟁을 앞두고 당정 갈등을 우려하는 지지층이 많은 만큼 당초 여권에선 “반윤 후보로 비치지 않게 적당한 메시지를 낼 것”이란 관측이 많았다. “윤 대통령과 적당히 거리를 두면서도 당정 갈등 소지는 없애는 발언이 나오지 않겠느냐”는 것이었다. 하지만 예상을 넘는 강경 발언에 경선 캠프 내부에서도 “예상보다 수위가 좀 더 올라간 것 같다”(캠프 관계자)는 반응이 나왔었다. 이날 회견문은 한 전 위원장이 직접 큰 틀을 잡고, 세부 발언 등은 캠프 관계자들과 출마 전날까지 상의를 거친 결과였다고 한다. 한 전 위원장 측 인사는 “어쩔 수 없는 선택이었다”며 “사자성어로 하면 육참골단(肉斬骨斷·작은 손실을 보는 대신 큰 승리를 거둔다)”이라고 말했다. 이어 “우리는 108석밖에 없는 절대 열세”라며 “야당의 전방위적인 특검 공세를 우리가 이겨낼 방안은 합리적인 대립 항을 내놓고 야당과 협상하는 것”이라고 말했다. ‘정치인 한동훈’의 홀로서기를 노린 포석이란 반응도 나온다. 친한계 의원은 “더는 윤심 아니라 민심대로 하겠다는 것”이라며 “당정 관계를 재정립하지 않고선 지난 총선의 패인을 그대로 반복할 수밖에 없다”고 했다. 그러면서 “지방선거도 망하고, 대선도 망할 순 없지 않느냐”고 했다. 대통령실은 즉각 불쾌감을 드러냈다. 익명을 원한 대통령실 관계자는 “국민과 대통령 사이에 벌어진 틈을 더 크게 벌리고, 국민이 대통령을 멀리하게 만드는 야당식 정치를 해서는 정권 재창출이 요원하다”고 말했다. 또 다른 대통령실 참모도 “여당 대표는 내부총질보다는 국정운영의 공동체로서 책임감 있고 안정감 있는 모습을 보이는 게 중요하다”고 했다. 친윤계 비판 수위는 더 높았다. 한 친윤계 의원은 “한 전 위원장의 본질과 속마음이 드러났다”며 “(박근혜 전 대통령과 가까웠다가 척을 진) 유승민 전 의원보다 더 나쁘다”고 비난했다. 또 다른 친윤계 의원도 “당정의 수평적 관계 재정립이 마치 목표처럼 돼선 안 된다”고 꼬집었다. 보수 진영 패널 사이에선 “좌파들에게 놀아가기로 작심했나. 진짜 답이 없다”(전여옥 전 의원)는 원색적 비난도 나왔다. 이런 비판에 대해 한 전 위원장은 이날 오후 ‘성찰과 각오’ 원외 당협위원장 워크숍 참석 직후 “현실적으로 어떤 방안이 민심과 국민 눈높이에 맞는지를 국민들께서 평가해 주시면 될 것 같다”고 맞섰다. 이날 한 전 위원장과 함께 전당대회에 출마할 러닝메이트도 윤곽을 드러냈다. 장동혁(재선)·박정훈(초선) 의원은 최고위원으로, 진종오(초선) 의원은 청년 최고위원으로 나선다. 함께 뛸 파트너를 사실상 조기 확정한 한 전 위원장과 달리 경쟁자들은 아직 러닝메이트를 확정하지 못했다."
"비호감 정치인 1위 이준석…2위 홍준표, 3위 이재명·한동훈ㅣ갤럽",JTBC,798,"주요 정치인 호감도 조사에서 이준석 개혁신당 의원이 비호감 1위를 기록했다는 여론조사 결과가 나왔습니다. 어제(21일) 한국갤럽에 따르면 지난 18일부터 20일까지 전국 만 18세 이상 1002명에게 물은 결과 국내 주요 정치인 6명 가운데 이 의원의 비호감도는 61%로 가장 높았습니다. 이 의원의 뒤를 이어 홍준표 대구시장이 60%로 비호감도 2위를 차지했습니다. 이 밖에 이재명 더불어민주당 대표와 한동훈 전 국민의힘 비상대책위원장이 58%로 공동 3위를, 조국 조국혁신당 대표가 54%로 4위를, 오세훈 서울시장이 50%로 5위를 기록했습니다. 호감도 순위는 비호감도의 역순이었습니다. 각각 오 시장 36%, 조 대표 35%, 이 대표 33%, 한 전 위원장 31%, 홍 시장 30%, 이 의원 27%로 집계됐습니다. 한국갤럽은 이 가운데 특히 오 시장에 대해선 ""국민의힘을 지지하거나 대통령 직무 긍정 평가자 3명 중 2명이 호감을 표했다""고 밝혔습니다. 이번 조사는 이동통신 3사 제공 무선전화 가상번호 무작위로 추출했으며, 응답방식은 전화조사원의 인터뷰로 진행됐습니다. 응답률은 12.2%였습니다. 아울러 표본오차는 95% 신뢰수준에서 ±3.1%포인트입니다. 보다 자세한 내용은 중앙선거여론조사심의위원회 홈페이지와 한국갤럽 홈페이지에서 확인할 수 있습니다"
